Borough,Community District,Community District Name,Tobacco Retail Dealer Cap,Active Tobacco Retail Dealer Licenses,TRD Available Under Cap,Electronic Cigarette Retail Dealer Cap,Active Electronic Cigarette Retail Dealer Licenses,ECD Available Under Cap,Data As Of
Queens,406,Queens 6,35,54,0,19,36,0,09/15/2023
Queens,407,Queens 7,71,103,0,31,55,0,09/15/2023
Queens,408,Queens 8,38,61,0,21,40,0,09/15/2023
Queens,409,Queens 9,60,79,0,24,35,0,09/15/2023
Queens,410,Queens 10,47,69,0,21,38,0,09/15/2023
Queens,411,Queens 11,28,38,0,15,25,0,09/15/2023
Queens,412,Queens 12,118,124,0,23,34,0,09/15/2023
Queens,413,Queens 13,54,62,0,19,31,0,09/15/2023
Queens,414,Queens 14,37,49,0,10,16,0,09/15/2023
Staten Island,501,Staten Island 1,99,118,0,34,61,0,09/15/2023
Staten Island,502,Staten Island 2,50,65,0,34,57,0,09/15/2023
Staten Island,503,Staten Island 3,42,63,0,32,59,0,09/15/2023
Manhattan,101,Manhattan 1,73,87,0,42,51,0,03/15/2024
Manhattan,102,Manhattan 2,68,85,0,40,56,0,03/15/2024
Manhattan,103,Manhattan 3,89,96,0,56,67,0,03/15/2024
Manhattan,104,Manhattan 4,97,121,0,58,86,0,03/15/2024
Manhattan,105,Manhattan 5,155,176,0,82,113,0,03/15/2024
Manhattan,106,Manhattan 6,68,76,0,44,58,0,03/15/2024
Manhattan,107,Manhattan 7,61,68,0,33,45,0,03/15/2024
Manhattan,108,Manhattan 8,74,93,0,39,54,0,03/15/2024
Manhattan,109,Manhattan 9,42,36,6,16,20,0,03/15/2024
Manhattan,110,Manhattan 10,62,54,8,13,8,5,03/15/2024
Manhattan,111,Manhattan 11,62,54,8,14,17,0,03/15/2024
Manhattan,112,Manhattan 12,86,60,26,28,25,3,03/15/2024
Bronx,201,Bronx 1,63,41,22,13,10,3,03/15/2024
Bronx,202,Bronx 2,36,34,2,5,5,0,03/15/2024
Bronx,203,Bronx 3,45,35,10,8,6,2,03/15/2024
Bronx,204,Bronx 4,88,75,13,9,5,4,03/15/2024
Bronx,205,Bronx 5,68,57,11,14,14,0,03/15/2024
Bronx,206,Bronx 6,58,56,2,7,10,0,03/15/2024
Bronx,207,Bronx 7,63,78,0,18,12,6,03/15/2024
Bronx,208,Bronx 8,36,36,0,12,12,0,03/15/2024
Bronx,209,Bronx 9,78,54,24,15,15,0,03/15/2024
Bronx,210,Bronx 10,52,65,0,30,37,0,03/15/2024
Bronx,211,Bronx 11,55,60,0,19,22,0,03/15/2024
Bronx,212,Bronx 12,66,64,2,21,28,0,03/15/2024
Brooklyn,301,Brooklyn 1,114,108,6,53,58,0,03/15/2024
Brooklyn,302,Brooklyn 2,64,57,7,25,28,0,03/15/2024
Brooklyn,303,Brooklyn 3,97,73,24,20,22,0,03/15/2024
Brooklyn,304,Brooklyn 4,80,71,9,24,24,0,03/15/2024
Brooklyn,305,Brooklyn 5,94,60,34,15,11,4,03/15/2024
Brooklyn,306,Brooklyn 6,48,61,0,26,38,0,03/15/2024
Brooklyn,307,Brooklyn 7,64,64,0,13,14,0,03/15/2024
Brooklyn,308,Brooklyn 8,46,33,13,12,12,0,03/15/2024
Brooklyn,309,Brooklyn 9,39,32,7,10,11,0,03/15/2024
Brooklyn,310,Brooklyn 10,62,76,0,27,33,0,03/15/2024
Brooklyn,311,Brooklyn 11,87,89,0,31,32,0,03/15/2024
Brooklyn,312,Brooklyn 12,49,58,0,16,23,0,03/15/2024
Brooklyn,313,Brooklyn 13,30,28,2,18,27,0,03/15/2024
Brooklyn,314,Brooklyn 14,57,51,6,21,27,0,03/15/2024
Brooklyn,315,Brooklyn 15,59,61,0,32,34,0,03/15/2024
Brooklyn,316,Brooklyn 16,48,30,18,6,5,1,03/15/2024
Brooklyn,317,Brooklyn 17,59,54,5,9,13,0,03/15/2024
Brooklyn,318,Brooklyn 18,55,65,0,21,27,0,03/15/2024
Queens,401,Queens 1,106,131,0,46,65,0,03/15/2024
Queens,402,Queens 2,70,85,0,26,41,0,03/15/2024
Queens,403,Queens 3,64,75,0,20,30,0,03/15/2024
Queens,404,Queens 4,64,87,0,18,25,0,03/15/2024
Queens,405,Queens 5,99,132,0,35,49,0,03/15/2024
Queens,406,Queens 6,35,51,0,19,32,0,03/15/2024
Queens,407,Queens 7,71,97,0,31,51,0,03/15/2024
Queens,408,Queens 8,38,55,0,21,39,0,03/15/2024
Queens,409,Queens 9,60,74,0,24,26,0,03/15/2024
Queens,410,Queens 10,47,68,0,21,34,0,03/15/2024
Queens,411,Queens 11,28,36,0,15,22,0,03/15/2024
Queens,412,Queens 12,118,103,15,23,26,0,03/15/2024
Queens,413,Queens 13,54,56,0,19,24,0,03/15/2024
Queens,414,Queens 14,37,45,0,10,13,0,03/15/2024
Staten Island,501,Staten Island 1,99,110,0,34,54,0,03/15/2024
Staten Island,502,Staten Island 2,50,59,0,34,53,0,03/15/2024
Staten Island,503,Staten Island 3,42,61,0,32,53,0,03/15/2024
Manhattan,101,Manhattan 1,73,87,0,32,53,0,09/15/2024
Manhattan,102,Manhattan 2,68,87,0,6,57,0,09/15/2024
Manhattan,103,Manhattan 3,89,93,0,9,67,0,09/15/2024
Manhattan,104,Manhattan 4,97,118,0,21,89,0,09/15/2024
Manhattan,105,Manhattan 5,155,177,0,42,115,0,09/15/2024
Manhattan,106,Manhattan 6,68,74,0,40,56,0,09/15/2024
Manhattan,107,Manhattan 7,61,67,0,56,45,11,09/15/2024
Manhattan,108,Manhattan 8,74,93,0,58,54,4,09/15/2024
Manhattan,109,Manhattan 9,42,36,6,16,20,0,09/15/2024
Manhattan,110,Manhattan 10,62,54,8,13,9,4,09/15/2024
Manhattan,111,Manhattan 11,62,57,5,14,18,0,09/15/2024
Manhattan,112,Manhattan 12,86,63,23,28,24,4,09/15/2024
Bronx,201,Bronx 1,2,42,0,13,11,2,09/15/2024
Bronx,202,Bronx 2,36,34,2,5,5,0,09/15/2024
Bronx,203,Bronx 3,45,37,8,8,8,0,09/15/2024
Bronx,204,Bronx 4,88,78,10,9,5,4,09/15/2024
Bronx,205,Bronx 5,68,62,6,14,14,0,09/15/2024
Bronx,206,Bronx 6,58,55,3,7,10,0,09/15/2024
Bronx,207,Bronx 7,63,78,0,18,13,5,09/15/2024
Bronx,208,Bronx 8,36,37,0,12,12,0,09/15/2024
Bronx,209,Bronx 9,78,61,17,15,16,0,09/15/2024
Bronx,210,Bronx 10,52,63,0,30,37,0,09/15/2024
Bronx,211,Bronx 11,55,60,0,19,22,0,09/15/2024
Bronx,212,Bronx 12,66,66,0,21,27,0,09/15/2024
Brooklyn,301,Brooklyn 1,114,109,5,53,61,0,09/15/2024
Brooklyn,302,Brooklyn 2,64,59,5,25,29,0,09/15/2024
Brooklyn,303,Brooklyn 3,97,75,22,20,23,0,09/15/2024
Brooklyn,304,Brooklyn 4,80,69,11,24,24,0,09/15/2024
Brooklyn,305,Brooklyn 5,94,62,32,15,12,3,09/15/2024
Brooklyn,306,Brooklyn 6,48,59,0,26,37,0,09/15/2024
Brooklyn,307,Brooklyn 7,64,64,0,13,15,0,09/15/2024
Brooklyn,308,Brooklyn 8,46,33,13,12,11,1,09/15/2024
Brooklyn,309,Brooklyn 9,39,29,10,10,10,0,09/15/2024
Brooklyn,310,Brooklyn 10,62,75,0,27,33,0,09/15/2024
Brooklyn,311,Brooklyn 11,87,89,0,31,34,0,09/15/2024
Brooklyn,312,Brooklyn 12,49,58,0,16,24,0,09/15/2024
Brooklyn,313,Brooklyn 13,30,28,2,18,25,0,09/15/2024
Brooklyn,314,Brooklyn 14,57,49,8,21,26,0,09/15/2024
Brooklyn,315,Brooklyn 15,59,62,0,32,34,0,09/15/2024
Brooklyn,316,Brooklyn 16,48,34,14,6,5,1,09/15/2024
Brooklyn,317,Brooklyn 17,59,55,4,9,13,0,09/15/2024
Brooklyn,318,Brooklyn 18,55,62,0,21,26,0,09/15/2024
Queens,401,Queens 1,106,127,0,46,64,0,09/15/2024
Queens,402,Queens 2,70,84,0,26,41,0,09/15/2024
Queens,403,Queens 3,64,72,0,20,29,0,09/15/2024
Queens,404,Queens 4,64,87,0,18,26,0,09/15/2024
Queens,405,Queens 5,99,129,0,35,48,0,09/15/2024
Queens,406,Queens 6,35,49,0,19,32,0,09/15/2024
Queens,407,Queens 7,71,93,0,31,50,0,09/15/2024
Queens,408,Queens 8,38,54,0,21,39,0,09/15/2024
Queens,409,Queens 9,60,72,0,24,27,0,09/15/2024
Queens,410,Queens 10,47,67,0,21,34,0,09/15/2024
Queens,411,Queens 11,28,36,0,15,22,0,09/15/2024
Queens,412,Queens 12,118,111,7,23,27,0,09/15/2024
Queens,413,Queens 13,54,56,0,19,21,0,09/15/2024
Queens,414,Queens 14,37,45,0,10,13,0,09/15/2024
Staten Island,501,Staten Island 1,99,106,0,34,54,0,09/15/2024
Staten Island,502,Staten Island 2,50,58,0,34,53,0,09/15/2024
Staten Island,503,Staten Island 3,42,61,0,32,53,0,09/15/2024
