Borough,Community District,Community District Name,Tobacco Retail Dealer Cap,Active Tobacco Retail Dealer Licenses,TRD Available Under Cap,Electronic Cigarette Retail Dealer Cap,Active Electronic Cigarette Retail Dealer Licenses,ECD Available Under Cap,Data As Of
Brooklyn,304,Brooklyn 4,80,139,0,24,46,0,04/25/2019
Brooklyn,305,Brooklyn 5,94,152,0,15,29,0,04/25/2019
Brooklyn,306,Brooklyn 6,48,92,0,26,53,0,04/25/2019
Brooklyn,307,Brooklyn 7,64,106,0,13,26,0,04/25/2019
Brooklyn,308,Brooklyn 8,46,84,0,12,25,0,04/25/2019
Brooklyn,309,Brooklyn 9,39,69,0,10,21,0,04/25/2019
Brooklyn,310,Brooklyn 10,62,119,0,27,56,0,04/25/2019
Brooklyn,311,Brooklyn 11,87,161,0,31,63,0,04/25/2019
Brooklyn,312,Brooklyn 12,49,87,0,16,32,0,04/25/2019
Brooklyn,313,Brooklyn 13,30,52,0,18,36,0,04/25/2019
Brooklyn,314,Brooklyn 14,57,99,0,21,42,0,04/25/2019
Brooklyn,315,Brooklyn 15,59,108,0,32,65,0,04/25/2019
Brooklyn,316,Brooklyn 16,48,85,0,6,13,0,04/25/2019
Brooklyn,317,Brooklyn 17,59,103,0,9,19,0,04/25/2019
Brooklyn,318,Brooklyn 18,55,98,0,21,42,0,04/25/2019
Queens,401,Queens 1,106,179,0,46,92,0,04/25/2019
Queens,402,Queens 2,70,118,0,26,52,0,04/25/2019
Queens,403,Queens 3,64,112,0,20,42,0,04/25/2019
Queens,404,Queens 4,64,116,0,18,36,0,04/25/2019
Queens,405,Queens 5,99,184,0,35,71,0,04/25/2019
Queens,406,Queens 6,35,65,0,19,40,0,04/25/2019
Queens,407,Queens 7,71,126,0,31,62,0,04/25/2019
Queens,408,Queens 8,38,74,0,21,43,0,04/25/2019
Queens,409,Queens 9,60,106,0,24,51,0,04/25/2019
Queens,410,Queens 10,47,87,0,21,42,0,04/25/2019
Queens,411,Queens 11,28,54,0,15,31,0,04/25/2019
Queens,412,Queens 12,118,201,0,23,48,0,04/25/2019
Queens,413,Queens 13,54,94,0,19,41,0,04/25/2019
Queens,414,Queens 14,37,70,0,10,20,0,04/25/2019
Staten Island,501,Staten Island 1,99,154,0,34,68,0,04/25/2019
Staten Island,502,Staten Island 2,50,90,0,34,68,0,04/25/2019
Staten Island,503,Staten Island 3,42,73,0,32,64,0,04/25/2019
Manhattan,101,Manhattan 1,73,127,0,42,76,0,04/24/2020
Manhattan,102,Manhattan 2,68,112,0,40,74,0,04/24/2020
Manhattan,103,Manhattan 3,89,147,0,56,104,0,04/24/2020
Manhattan,104,Manhattan 4,97,162,0,58,116,0,04/24/2020
Manhattan,105,Manhattan 5,155,262,0,82,154,0,04/24/2020
Manhattan,106,Manhattan 6,68,117,0,44,83,0,04/24/2020
Manhattan,107,Manhattan 7,61,112,0,33,66,0,04/24/2020
Manhattan,108,Manhattan 8,74,136,0,39,76,0,04/24/2020
Manhattan,109,Manhattan 9,42,65,0,16,27,0,04/24/2020
Manhattan,110,Manhattan 10,62,94,0,13,19,0,04/24/2020
Manhattan,111,Manhattan 11,62,103,0,14,26,0,04/24/2020
Manhattan,112,Manhattan 12,86,113,0,28,48,0,04/24/2020
Bronx,201,Bronx 1,63,75,0,13,19,0,04/24/2020
Bronx,202,Bronx 2,36,55,0,5,9,0,04/24/2020
Bronx,203,Bronx 3,45,67,0,8,13,0,04/24/2020
Bronx,204,Bronx 4,88,131,0,9,15,0,04/24/2020
Bronx,205,Bronx 5,68,103,0,14,24,0,04/24/2020
Bronx,206,Bronx 6,58,88,0,7,13,0,04/24/2020
Bronx,207,Bronx 7,63,109,0,18,28,0,04/24/2020
Bronx,208,Bronx 8,36,54,0,12,20,0,04/24/2020
Bronx,209,Bronx 9,78,114,0,15,30,0,04/24/2020
Bronx,210,Bronx 10,52,87,0,30,52,0,04/24/2020
Bronx,211,Bronx 11,55,94,0,19,33,0,04/24/2020
Bronx,212,Bronx 12,66,103,0,21,39,0,04/24/2020
Brooklyn,301,Brooklyn 1,114,178,0,53,100,0,04/24/2020
Brooklyn,302,Brooklyn 2,64,97,0,25,46,0,04/24/2020
